Geography,Year,Category,Industry Space Use,Value
West Melbourne (Residential),2038,Jobs by industry,Real estate services,45
West Melbourne (Residential),2040,Jobs by industry,Real estate services,45
West Melbourne (Residential),2041,Jobs by industry,Real estate services,45
West Melbourne (Residential),2029,Jobs by industry,Rental and hiring services,0
West Melbourne (Residential),2033,Jobs by industry,Rental and hiring services,0
West Melbourne (Residential),2034,Jobs by industry,Rental and hiring services,0
West Melbourne (Residential),2027,Jobs by industry,Retail trade,209
West Melbourne (Residential),2029,Jobs by industry,Retail trade,217
West Melbourne (Residential),2032,Jobs by industry,Retail trade,234
West Melbourne (Residential),2039,Jobs by industry,Retail trade,280
West Melbourne (Residential),2040,Jobs by industry,Retail trade,282
West Melbourne (Residential),2022,Jobs by industry,"Transport, postal and storage",64
West Melbourne (Residential),2027,Jobs by industry,"Transport, postal and storage",71
West Melbourne (Residential),2039,Jobs by industry,"Transport, postal and storage",76
West Melbourne (Residential),2041,Jobs by industry,"Transport, postal and storage",76
West Melbourne (Residential),2022,Jobs by industry,Wholesale trade,149
West Melbourne (Residential),2024,Jobs by industry,Wholesale trade,147
West Melbourne (Residential),2025,Jobs by industry,Wholesale trade,146
West Melbourne (Residential),2032,Jobs by industry,Wholesale trade,154
West Melbourne (Residential),2034,Jobs by industry,Wholesale trade,151
West Melbourne (Residential),2036,Jobs by industry,Wholesale trade,144
West Melbourne (Residential),2038,Jobs by industry,Wholesale trade,143
West Melbourne (Residential),2039,Jobs by industry,Wholesale trade,142
Carlton,2021,Jobs by space use,Accommodation - Commercial,682
Carlton,2022,Jobs by space use,Accommodation - Commercial,806
Carlton,2024,Jobs by space use,Accommodation - Commercial,943
Carlton,2036,Jobs by space use,Accommodation - Commercial,1156
Carlton,2038,Jobs by space use,Accommodation - Commercial,1172
Carlton,2039,Jobs by space use,Accommodation - Commercial,1180
Carlton,2041,Jobs by space use,Accommodation - Commercial,1196
Carlton,2021,Jobs by space use,Education,3361
Carlton,2024,Jobs by space use,Education,3465
Carlton,2032,Jobs by space use,Education,4905
Carlton,2034,Jobs by space use,Education,5250
Carlton,2036,Jobs by space use,Education,5576
Carlton,2037,Jobs by space use,Education,5687
Carlton,2040,Jobs by space use,Education,5942
Carlton,2021,Jobs by space use,Entertainment - Hospitality,1377
Carlton,2026,Jobs by space use,Entertainment - Hospitality,1835
Carlton,2031,Jobs by space use,Entertainment - Hospitality,2197
Carlton,2033,Jobs by space use,Entertainment - Hospitality,2261
Carlton,2036,Jobs by space use,Entertainment - Hospitality,2348
Carlton,2038,Jobs by space use,Entertainment - Hospitality,2394
Carlton,2023,Jobs by space use,Entertainment - Other,582
Carlton,2028,Jobs by space use,Entertainment - Other,593
Carlton,2030,Jobs by space use,Entertainment - Other,601
Carlton,2031,Jobs by space use,Entertainment - Other,607
Carlton,2032,Jobs by space use,Entertainment - Other,612
Carlton,2035,Jobs by space use,Entertainment - Other,636
Carlton,2037,Jobs by space use,Entertainment - Other,647
Carlton,2041,Jobs by space use,Entertainment - Other,670
Carlton,2024,Jobs by space use,Health,1978
Carlton,2026,Jobs by space use,Health,2567
Carlton,2032,Jobs by space use,Health,4490
Carlton,2037,Jobs by space use,Health,5698
Carlton,2040,Jobs by space use,Health,6032
Carlton,2041,Jobs by space use,Health,6110
Carlton,2025,Jobs by space use,Industrial,3
Carlton,2029,Jobs by space use,Industrial,4
Carlton,2030,Jobs by space use,Industrial,4
Carlton,2031,Jobs by space use,Industrial,3
Carlton,2033,Jobs by space use,Industrial,3
Carlton,2034,Jobs by space use,Industrial,2
Carlton,2038,Jobs by space use,Industrial,2
Carlton,2040,Jobs by space use,Industrial,1
Carlton,2023,Jobs by space use,Office,6453
Carlton,2028,Jobs by space use,Office,7576
Carlton,2029,Jobs by space use,Office,7762
Carlton,2031,Jobs by space use,Office,8060
Carlton,2022,Jobs by space use,Other - Employment,477
Carlton,2030,Jobs by space use,Other - Employment,502
Carlton,2032,Jobs by space use,Other - Employment,521
Carlton,2033,Jobs by space use,Other - Employment,531
Carlton,2034,Jobs by space use,Other - Employment,540
Carlton,2035,Jobs by space use,Other - Employment,550
Carlton,2036,Jobs by space use,Other - Employment,554
Carlton,2037,Jobs by space use,Other - Employment,558
Carlton,2040,Jobs by space use,Other - Employment,570
Carlton,2023,Jobs by space use,Retail,1182
Carlton,2024,Jobs by space use,Retail,1220
Carlton,2025,Jobs by space use,Retail,1268
Carlton,2027,Jobs by space use,Retail,1329
Carlton,2028,Jobs by space use,Retail,1354
Carlton,2030,Jobs by space use,Retail,1403
Carlton,2031,Jobs by space use,Retail,1430
Carlton,2039,Jobs by space use,Retail,1679
Docklands,2022,Jobs by space use,Accommodation - Commercial,400
Docklands,2023,Jobs by space use,Accommodation - Commercial,389
Docklands,2024,Jobs by space use,Accommodation - Commercial,387
Docklands,2026,Jobs by space use,Accommodation - Commercial,420
Docklands,2033,Jobs by space use,Accommodation - Commercial,482
Docklands,2035,Jobs by space use,Accommodation - Commercial,489
Docklands,2036,Jobs by space use,Accommodation - Commercial,493
Docklands,2021,Jobs by space use,Education,582
Docklands,2025,Jobs by space use,Education,1129
Docklands,2026,Jobs by space use,Education,1153
Docklands,2027,Jobs by space use,Education,1198
Docklands,2028,Jobs by space use,Education,1250
Docklands,2029,Jobs by space use,Education,1309
Docklands,2032,Jobs by space use,Education,1468
Docklands,2034,Jobs by space use,Education,1534
Docklands,2036,Jobs by space use,Education,1604
Docklands,2024,Jobs by space use,Entertainment - Hospitality,3508
Docklands,2025,Jobs by space use,Entertainment - Hospitality,3763
Docklands,2026,Jobs by space use,Entertainment - Hospitality,3920
Docklands,2035,Jobs by space use,Entertainment - Hospitality,4481
Docklands,2022,Jobs by space use,Entertainment - Other,969
Docklands,2027,Jobs by space use,Entertainment - Other,1003
Docklands,2028,Jobs by space use,Entertainment - Other,1022
Docklands,2034,Jobs by space use,Entertainment - Other,1135
Docklands,2037,Jobs by space use,Entertainment - Other,1203
Docklands,2038,Jobs by space use,Entertainment - Other,1225
Docklands,2025,Jobs by space use,Health,157
Docklands,2029,Jobs by space use,Health,227
Docklands,2030,Jobs by space use,Health,251
Docklands,2032,Jobs by space use,Health,284
Docklands,2034,Jobs by space use,Health,313
Docklands,2035,Jobs by space use,Health,326
Docklands,2037,Jobs by space use,Health,355
Docklands,2022,Jobs by space use,Industrial,21
Docklands,2030,Jobs by space use,Industrial,13
Docklands,2033,Jobs by space use,Industrial,11
Docklands,2034,Jobs by space use,Industrial,10
Docklands,2022,Jobs by space use,Office,64518
Docklands,2023,Jobs by space use,Office,65743
Docklands,2026,Jobs by space use,Office,68924
Docklands,2031,Jobs by space use,Office,73134
Docklands,2035,Jobs by space use,Office,75862
Docklands,2036,Jobs by space use,Office,76622
Docklands,2040,Jobs by space use,Office,79591
Docklands,2024,Jobs by space use,Other - Employment,772
Docklands,2026,Jobs by space use,Other - Employment,805
Docklands,2029,Jobs by space use,Other - Employment,819
Docklands,2030,Jobs by space use,Other - Employment,821
Docklands,2031,Jobs by space use,Other - Employment,827
Docklands,2036,Jobs by space use,Other - Employment,831
Docklands,2037,Jobs by space use,Other - Employment,834
Docklands,2040,Jobs by space use,Other - Employment,844
Docklands,2041,Jobs by space use,Other - Employment,844
Docklands,2022,Jobs by space use,Retail,2898
Docklands,2024,Jobs by space use,Retail,3039
Docklands,2025,Jobs by space use,Retail,3150
Docklands,2026,Jobs by space use,Retail,3234
Docklands,2028,Jobs by space use,Retail,3334
Docklands,2030,Jobs by space use,Retail,3418
Docklands,2033,Jobs by space use,Retail,3597
Docklands,2036,Jobs by space use,Retail,3786
Docklands,2037,Jobs by space use,Retail,3839
Docklands,2038,Jobs by space use,Retail,3893
Docklands,2039,Jobs by space use,Retail,3946
East Melbourne,2021,Jobs by space use,Accommodation - Commercial,582
East Melbourne,2022,Jobs by space use,Accommodation - Commercial,582
East Melbourne,2024,Jobs by space use,Accommodation - Commercial,565
East Melbourne,2025,Jobs by space use,Accommodation - Commercial,599
East Melbourne,2027,Jobs by space use,Accommodation - Commercial,638
East Melbourne,2032,Jobs by space use,Accommodation - Commercial,717
East Melbourne,2035,Jobs by space use,Accommodation - Commercial,737
East Melbourne,2036,Jobs by space use,Accommodation - Commercial,743
East Melbourne,2037,Jobs by space use,Accommodation - Commercial,749
East Melbourne,2039,Jobs by space use,Accommodation - Commercial,762
East Melbourne,2021,Jobs by space use,Education,246
East Melbourne,2033,Jobs by space use,Education,386
East Melbourne,2034,Jobs by space use,Education,401
East Melbourne,2035,Jobs by space use,Education,413
East Melbourne,2023,Jobs by space use,Entertainment - Hospitality,2912
East Melbourne,2024,Jobs by space use,Entertainment - Hospitality,3071
East Melbourne,2027,Jobs by space use,Entertainment - Hospitality,3361
East Melbourne,2029,Jobs by space use,Entertainment - Hospitality,3438
East Melbourne,2030,Jobs by space use,Entertainment - Hospitality,3480
East Melbourne,2036,Jobs by space use,Entertainment - Hospitality,3592
East Melbourne,2037,Jobs by space use,Entertainment - Hospitality,3603
East Melbourne,2041,Jobs by space use,Entertainment - Hospitality,3646
East Melbourne,2021,Jobs by space use,Entertainment - Other,1197
East Melbourne,2029,Jobs by space use,Entertainment - Other,1233
East Melbourne,2031,Jobs by space use,Entertainment - Other,1277
East Melbourne,2032,Jobs by space use,Entertainment - Other,1296
East Melbourne,2037,Jobs by space use,Entertainment - Other,1356
East Melbourne,2038,Jobs by space use,Entertainment - Other,1358
East Melbourne,2039,Jobs by space use,Entertainment - Other,1361
East Melbourne,2021,Jobs by space use,Health,4439
East Melbourne,2026,Jobs by space use,Health,5067
East Melbourne,2035,Jobs by space use,Health,6099
East Melbourne,2039,Jobs by space use,Health,6398
East Melbourne,2041,Jobs by space use,Health,6543
East Melbourne,2021,Jobs by space use,Industrial,51
East Melbourne,2023,Jobs by space use,Industrial,48
East Melbourne,2024,Jobs by space use,Industrial,47
East Melbourne,2030,Jobs by space use,Industrial,37
East Melbourne,2031,Jobs by space use,Industrial,32
East Melbourne,2036,Jobs by space use,Industrial,17
East Melbourne,2040,Jobs by space use,Industrial,11
East Melbourne,2022,Jobs by space use,Office,11162
East Melbourne,2023,Jobs by space use,Office,11420
East Melbourne,2025,Jobs by space use,Office,11901
East Melbourne,2028,Jobs by space use,Office,12673
East Melbourne,2033,Jobs by space use,Office,13749
East Melbourne,2034,Jobs by space use,Office,13858
East Melbourne,2035,Jobs by space use,Office,13940
East Melbourne,2041,Jobs by space use,Office,14704
East Melbourne,2021,Jobs by space use,Other - Employment,110
East Melbourne,2030,Jobs by space use,Other - Employment,144
East Melbourne,2032,Jobs by space use,Other - Employment,153
East Melbourne,2034,Jobs by space use,Other - Employment,161
East Melbourne,2040,Jobs by space use,Other - Employment,178
East Melbourne,2041,Jobs by space use,Other - Employment,180
East Melbourne,2023,Jobs by space use,Retail,198
East Melbourne,2024,Jobs by space use,Retail,212
